"name","lat","lon","top","right","bottom","left","parent","id"
"Belmont Regional Park",-41.166400909424,174.92599487305,-41.1562,174.952,-41.1766,174.9,"",79
"Ben Omar",-44.469699859619,170.05299377441,-44.4697,170.053,-44.4697,170.053,"",81
"Huxley Gorge",-44.177200317383,169.82400512695,-44.1772,169.824,-44.1772,169.824,"",407
"Inch Clutha",-46.279598236084,169.80099487305,-46.2796,169.801,-46.2796,169.801,"",409
"Matokitoki",-38.615699768066,178.01100158691,-38.6157,178.011,-38.6157,178.011,"",578
"Motiti Island",-37.620899200439,176.42700195312,-37.6209,176.427,-37.6209,176.427,"",618
"Mount Cook",-43.962299346924,170.12800598145,-43.9623,170.128,-43.9623,170.128,"",622
"Mount Grand",-45.883401234945,170.45132954915,-45.8721,170.458,-45.8916,170.44,"",624
"Nine Mile",-42.38090133667,171.28300476074,-42.3809,171.283,-42.3809,171.283,"",668
"Otipua Creek",-44.397201538086,171.16900634766,-44.3972,171.169,-44.3972,171.169,"",747
"Scarborough",-44.428600311279,171.25500488281,-44.4286,171.255,-44.4286,171.255,"",933
"Thomsons Ford",-41.494201660156,173.93099975586,-41.4942,173.931,-41.4942,173.931,"",1065
"Totara Peak",-44.398101806641,170.19400024414,-44.3981,170.194,-44.3981,170.194,"",1092
"Washdyke Flat",-44.366100311279,171.20799255371,-44.3661,171.208,-44.3661,171.208,"",1191
"Bridge Hill",-45.262205547757,169.37666659885,-45.2324,169.39,-45.2987,169.332,"Alexandra",108
"Allenton",-43.891083651576,171.74789612869,-43.7896,171.894,-43.9112,171.67,"Ashburton",16
"Elgin",-38.999557987336,177.59425846223,-38.6544,178.005,-43.9591,171.773,"Ashburton",237
"Hampstead",-43.912810134888,171.75999908447,-43.9021,171.81,-43.9591,171.746,"Ashburton",338
"Methven",-43.634915958751,171.64734094793,-43.576,171.722,-43.7896,171.627,"Ashburton",599
"Netherby",-43.899495731701,171.76872877641,-43.8869,171.876,-43.9191,171.753,"Ashburton",647
"Rakaia",-43.752202763277,172.00629335291,-43.6735,172.102,-43.8267,171.779,"Ashburton",854
"Tinwald",-43.916022960956,171.72110220102,-43.8333,171.744,-43.9298,171.578,"Ashburton",1077
"Auckland Central",-36.849919621816,174.76336542004,-36.838,174.779,-36.8667,174.751,"Auckland",42
"Avondale",-38.407144149548,174.23911196326,-36.8707,174.728,-43.5173,172.669,"Auckland",48
"Blockhouse Bay",-36.918271165145,174.70159289711,-36.9077,174.718,-36.9319,174.692,"Auckland",98
"Eden Terrace",-36.864274567249,174.75760725433,-36.8564,174.766,-36.8872,174.749,"Auckland",231
"Ellerslie",-36.895080513424,174.81377834744,-36.8888,174.826,-36.9052,174.8,"Auckland",239
"Epsom",-36.889188112912,174.77167879118,-36.8674,174.808,-36.9083,174.752,"Auckland",244
"Freemans Bay",-36.851739172842,174.75009813496,-36.844,174.758,-36.8584,174.745,"Auckland",278
"Glen Innes",-36.873131084442,174.8642616272,-36.8661,174.881,-36.8795,174.85,"Auckland",289
"Glendowie",-36.860653055125,174.86920823722,-36.8486,174.881,-36.87,174.857,"Auckland",292
"Grafton",-36.863145662391,174.76682712721,-36.8524,174.773,-36.8872,174.761,"Auckland",309
"Greenlane",-36.895494569023,174.79516947045,-36.8821,174.808,-36.9083,174.78,"Auckland",317
"Grey Lynn",-36.861877078102,174.74003760928,-36.8542,174.758,-36.8709,174.725,"Auckland",323
"Herne Bay",-36.844546590533,174.73167855399,-36.8406,174.741,-36.8515,174.724,"Auckland",370
"Hillsborough",-39.894144760935,173.82302669057,-36.9116,174.769,-43.577,172.65,"Auckland",383
"Kingsland",-36.870632048576,174.74348252819,-36.8647,174.752,-36.8784,174.728,"Auckland",472
"Kohimarama",-36.860201915105,174.84424972534,-36.8493,174.856,-36.8769,174.819,"Auckland",478
"Lynfield",-36.929063508005,174.71978713527,-36.9236,174.73,-36.9343,174.714,"Auckland",515
"Meadowbank",-36.869936095344,174.82941733466,-36.8664,174.84,-36.8737,174.82,"Auckland",589
"Mechanics Bay",-36.846698760986,174.78700256348,-36.8462,174.787,-36.8472,174.787,"Auckland",591
"Mission Bay",-36.855983533357,174.83194772821,-36.8493,174.836,-36.8625,174.824,"Auckland",606
"Mt Albert",-36.885018326854,174.7194878964,-36.8731,174.801,-36.9208,174.705,"Auckland",625
"Mt Eden",-36.88243648593,174.75380395644,-36.8665,174.768,-36.9018,174.739,"Auckland",627
"Mt Roskill",-36.912042703714,174.73517567403,-36.8937,174.754,-36.9337,174.714,"Auckland",630
"Mt Wellington",-36.90644698175,174.83836262338,-36.8814,174.861,-36.9341,174.818,"Auckland",632
"Newmarket",-36.868415594101,174.77824878693,-36.851,174.801,-36.881,174.772,"Auckland",655
"One Tree Hill",-36.906047986901,174.79425977624,-36.8975,174.802,-36.9106,174.784,"Auckland",711
"Onehunga",-36.917944881894,174.78900930422,-36.9072,174.808,-36.9313,174.768,"Auckland",712
"Orakei",-36.855885482416,174.81909626286,-36.8454,174.832,-36.8622,174.809,"Auckland",728
"Otahuhu",-36.942784539584,174.84507751465,-36.917,174.86,-36.9559,174.811,"Auckland",734
"Panmure",-36.897164106369,174.85745286942,-36.8866,174.868,-36.9067,174.837,"Auckland",769
"Parnell",-36.855163055716,174.78230181944,-36.8489,174.819,-36.8638,174.772,"Auckland",791
"Penrose",-36.913754549893,174.81439347701,-36.9033,174.838,-36.9263,174.798,"Auckland",795
"Point Chevalier",-36.864523569743,174.70634735955,-36.8537,174.718,-36.8776,174.698,"Auckland",813
